ENC,X133,Library Research and Writing,0.5,EN,,,English
ENC,X135,Argument and Persuasion,1,EN,,,English
ENC,X141,Writing About Literature,1,EN,,,English
ENC,X145,Special Topics in Freshman English,1,EN,,,English
ENC,X210,Technical Writing,1,EN,,,English
ENC,X213,Technical and Business Writing,1,EN,,,English
ENC,X300,Intermediate Composition,1,EN,,,English
ENC,X301,Advanced Composition I,1,EN,,,English
ENG,X012,Approaches to Literary Criticism,1,EN,,,English
ENG,X100,Introduction to Film,0.5,EN,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ENL,X000,British Literature Survey: Comprehension,1,EN,,,English
ENL,X010,English Literature to 1660,1,EN,,,English
ENL,X012,English Literature through 18th Century,1,EN,,,English
ENL,X022,English Literature since 18th Century,1,EN,,,English
ENL,X230,Restoration and 18th Century Literature,1,EN,,,English
ENL,X251,Victorian and Edwardian Literature,1,EN,,,English
ENL,X273,Modern British Literature,1,EN,,,English
ENT,X000,Introduction to Entrepreneurship,0.5,EL,,,Electives
ENY,X040,The Insects,0.5,EQ,,,Science
ESC,X000,Introduction to Earth Science (GE Core),0.5,EQ,Natural,Science,Science
ESC,X000/L,Introduction to Earth Science (GE Core),1,EQ,Natural Science,,Science
ESC,X000C,Introduction to Earth Science (GE Core),1,EQ,Natural,Science,Science
ESC,X070,Global Change,0.5,EQ,,,Science
ESC,X070/L,Global Change,1,EQ,,,Science
EUH,X000,Survey of Western Civilization I,0.5,EL,,,Electives
EVR,X001,Introduction to Environmental Science (GE Core),0.5,EQ,Natural,Science,Science
EVR,X001/L,Introduction to Environmental Science (GE Core),1,EQ,Natural Science,,Science
EVR,X001C,Introduction to Environmental Science (GE Core),1,EQ,Natural,Science,Science
EVS,X001,Introduction to Environmental Science,0.5,EQ,,,Science
FIL,X000,Introduction to Film Studies (L),0.5,PF,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
FIL,X001,Introduction to Film Production,0.5,PF,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
FIL,X002,Appreciation of Film I,0.5,PF,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
FIL,X003,Appreciation of Film II,0.5,PF,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
FIL,X030,History of Motion Pictures (L),0.5,PF,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
FIL,X100,Screen Writing,0.5,PF,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
FIL,X420,Introduction to Film Production I (L),0.5,PF,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
FIL,X423,Filmmaking I (L),0.5,PF,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
FIL,X432,Motion Picture and Television Prod II (L),0.5,PF,,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
FIN,X100,Personal Finance,0.5,PL,,,Electives
FIN,X140,Personal Finance,0.5,PL,,,Electives
FRE,X100,Elementary French I,0.5,EL,,,World Languages
FRE,X101,Elementary French II,0.5,EL,,,World Languages
,,2024-2025 Academic Dual Enrollment - High School Dubject Area Equivalency List,,,,
FRE,X120,"Elementary French I, Concentrated",1,EL,,World Languages
FRE,X121,"Elem French II, Concentrated",1,EL,,World Languages
FRE,X130,Elementary French I Accelerated,1,EL,,World Languages
FRE,X131,Elementary French II Accelerated,1,EL,,World Languages
FRE,X200,Intm Level: Gen Rev Basic Skills I,0.5,EL,,World Languages
FRE,X201,Intm Level: Gen Rev Basic Skills II,0.5,EL,,World Languages
FRE,X210,Intermediate Conversation & Comp I,0.5,EL,,World Languages
FRE,X211,Intm Reading and Conv Accelerated II,1,EL,,World Languages
FRE,X220,Intermediate Reading and Conversation,1,EL,,World Languages
FRE,X221,Interm Reading and Conversation II,1,EL,,World Languages
FRE,X230,Reading in French Literature & Culture,1,EL,,World Languages
FRE,X231,Intermediate French Reading II,1,EL,,World Languages
FRE,X240,Intermediate Conversation I,0.5,EL,,World Languages
FRE,X241,Intermediate French Conversation II,0.5,EL,,World Languages
GEB,X011,Introduction to Business,0.5,EL,,Electives
GER,X100,Elementary German I,0.5,EL,,World Languages
GER,X101,Elementary German II,0.5,EL,,World Languages
GER,X110,Elementary Conversational German,1,EL,,World Languages
GER,X111,Elementary Conversational German II,1,EL,,World Languages
GER,X120,"Elementary German I, Concentrated",1,EL,,World Languages
GER,X121,"Elementary German II, Concentrated",1,EL,,World Languages
GER,X130,Elementary German I- Accelerated,1,EL,,World Languages
GER,X131,Elementary German II- Accelerated,1,EL,,World Languages
GER,X200,Intm Level: Gen Rev Basic Skills I,0.5,EL,,World Languages
GER,X201,Intm Level: Gen Rev Basic Skills II,0.5,EL,,World Languages
GER,X220,Intermediate German Reading and Conversation 1,1,EL,,World Languages
GER,X221,Intermediate German Reading and Conversation II,1,EL,,World Languages
GER,X240,Intermediate Conversation I,0.5,EL,,World Languages
GLY,X000,Introduction to Geology,0.5,EQ,,Science
GLY,X000/L,Introduction to Geology,1,EQ,,Science
GLY,X000C,Introduction to Geology,1,EQ,,Science
GLY,X001,Elements of Earth Science,0.5,EQ,,Science
GLY,X010,Introductory Geology (GE Core),0.5,EQ,Natural Science,Science
GLY,X010/L,Introductory Geology (GE Core),1,EQ,Natural Science,Science
GLY,X010C,Introductory Geology (GE Core),1,EQ,Natural Science,Science
GLY,X030,Environmental Geology,0.5,EQ,,Science
GLY,X030C,Environmental Geology,1,EQ,,Science
GLY,X100,Historical Geology,0.5,EQ,,Science
GLY,X100/L,Historical Geology,1,EQ,,Science
GLY,X100C,Historical Geology,1,EQ,,Science
GRA,X014,Layout Design/Planner,3,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X024,Production Assistant,1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X025,Digital Assistant Designer,2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X026,Graphic Designer,2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X027,Media Designer,2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X036,Desktop Publishing Assistant/Graphic Designer,3,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X037,Design Technician/Digital Designer,3,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X038,Illustrator/Print Media Artist,2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X039,Print Media Artist/Web Designer,2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X100,Introduction to Graphic Design,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X103,Computer Based Design,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X111,Graphic Design I,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X129,Visualization Basics,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X142,Digital Media Design,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X151,Computer Illustration,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
GRA,X152,Electronic Illustration,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
,,,,,,,,2024-2025 Academic Dual Enrollment - High School Dubject Area Equivalency List,,,,
GRA,X190,Graphics Design,,,,,,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
HBR,X102,Beginning Hebrew,,,,,,,1,EL,,World Languages
HBR,X103,Beginning Hebrew,,,,,,,1,EL,,World Languages
HBR,X120,Elementary Hebrew I,,,,,,,1,EL,,World Languages
HBR,X121,Elementary Hebrew II,,,,,,,1,EL,,World Languages
HBR,X130,"Elementary Hebrew I, Accelerated",,,,,,,1,EL,,World Languages
HBR,X131,"Elementary Hebrew II, Accelerated",,,,,,,1,EL,,World Languages
HBR,X200,Intm Lang: Gen Rev Basic Skills I,,,,,,,0.5,EL,,World Languages
HBR,X201,Intm Lang: Gen Rev Basic Skills II,,,,,,,0.5,EL,,World Languages
HBR,X220,Intermediate Hebrew Reading and Conversation I,,,,,,,1,EL,,World Languages
HBR,X221,Intermediate Hebrew Reading and Conversation II,,,,,,,1,EL,,World Languages
HBR,X222,Intermediate Hebrew,,,,,,,1,EL,,World Languages
HEV,X872,Teacher Aide (Preschool),,,,,,,1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
HLP,X081,Personal Wellness Appraisal & Improvement,,,,,,,0.5,PE,,Physical Education: Personal Fitness
HLP,X082,Personal Wellness Appraisal & Improvement II,,,,,,,0.5,PE,,Physical Education: Personal Fitness
HLP,X083,Human Performance,,,,,,,0.5,PE,,Physical Education: Personal Fitness
HSC,X100,Personal Health,,,,,,,0.5,PE,,Physical Education: Personal Fitness
HSC,X101,Personal Health Potential,,,,,,,0.5,PE,,Physical Education: Personal Fitness
HSC,X102,Healthful Living I,,,,,,,0.5,PE,,Physical Education: Personal Fitness
HUM,X020,Introduction to Humanities (GE Core),,,,,,,0.5,EL,Humanities,Electives
HUM,X210,Ancient Times Through the Renaissance,,,,,,,0.5,EL,,Electives
HUM,X250,Modern and Contemporary Periods,,,,,,,0.5,EL,,Electives
HUM,X310,Mythology in Art and Literature,,,,,,,0.5,EL,,Electives
HUN,X003,"Wellness: Nutri., Personal Growth, Fitness",,,,,,,0.5,PE,,Physical Education: Personal Fitness
HUN,X201,Human Nutrition,,,,,,,0.5,EL,,Electives
HUN,X270,Nutrition and Fitness,,,,,,,0.5,PE,,Physical Education: Personal Fitness
INR,X002,Introduction to International Relations,,,,,,,0.5,EL,,Electives
ISC,X001C,Integrated,,,,,,,1,EQ,,Science
ISC,X002C,Integrated,,,,,,,1,EQ,,Science
ISC,X003,Global,"Change,",Its,Scientific,and,Human,Dimensions,0.5,EQ,,Science
ISC,X006,Wide World of Science I,,,,,,,0.5,EQ,,Science
ISC,X006C,Wide World of Science I,,,,,,,1,EQ,,Science
ISC,X007C,Wide World of Science II,,,,,,,1,EQ,,Science
ISS,X120,Political and Economic Institutions,,,,,,,0.5,EL,,Electives
ITA,X110,Elementary Conversational Italian I,,,,,,,1,EL,,World Languages
ITA,X111,Elementary Conversational Italian II,,,,,,,1,EL,,World Languages
ITA,X120,Elementary Italian I- Concentrated,,,,,,,1,EL,,World Languages
ITA,X121,Elementary Italian II- Concentrated,,,,,,,1,EL,,World Languages
ITA,X130,Elementary Accelerated Italian I,,,,,,,1,EL,,World Languages
ITA,X131,Elementary Accelerated Italian II,,,,,,,1,EL,,World Languages
ITA,X200,Intm Level: Gen Rev Basic Skills I,,,,,,,0.5,EL,,World Languages
ITA,X201,Intm Level: Gen Rev Basic Skills II,,,,,,,0.5,EL,,World Languages
ITA,X220,Intermediate Italian Reading and Conversation I,,,,,,,1,EL,,World Languages
ITA,X221,Intermediate Italian Reading and Conversation II,,,,,,,1,EL,,World Languages
ITA,X240,Intermediate Conversation I,,,,,,,0.5,EL,,World Languages
ITA,X241,Intermediate Conversation II,,,,,,,0.5,EL,,World Languages
JPN,X120,"Elementary Japanese I, Concentrated",,,,,,,1,EL,,World Languages
JPN,X121,"Elementary Japanese II, Concentrated",,,,,,,1,EL,,World Languages
JPN,X130,Beginning Japanese I,,,,,,,1,EL,,World Languages
JPN,X131,Beginning Japanese II,,,,,,,1,EL,,World Languages
JPN,X200,Intermediate Japanese I,,,,,,,0.5,EL,,World Languages
JPN,X201,Second-Year Japanese 2,,,,,,,0.5,EL,,World Languages
JPN,X202,Intermediate Japanese Reading and Conversation I- Upper,,,,,,,0.5,EL,,World Languages
JPN,X220,Intermediate Japanese Reading and Conversation I,,,,,,,1,EL,,World Languages
JPN,X221,Intermediate Japanese Reading and Conversation II,,,,,,,1,EL,,World Languages
JPN,X230,Intermediate Readings,,,,,,,1,EL,,World Languages
,,2024-2025 Academic Dual Enrollment - High School Dubject Area Equivalency List,,,,
JPN,X231,Intermediate Readings II,1,EL,,World Languages
LAT,X101,Elementary Latin II,0.5,EL,,World Languages
LAT,X104,Elementary Latin 3,0.5,EL,,World Languages
LAT,X120,"Elementary Latin I, Concentrated",1,EL,,World Languages
LAT,X121,"Elementary Latin II, Concentrated",1,EL,,World Languages
LAT,X130,Elementary Accelerated,1,EL,,World Languages
LAT,X131,Elementary Accelerated,1,EL,,World Languages
LAT,X200,Review Latin Grammar & Translation,0.5,EL,,World Languages
LAT,X220,Intermediate Latin Reading I,1,EL,,World Languages
LAT,X221,Intermediate Latin Reading II,1,EL,,World Languages
LIN,X670,English Grammar,0.5,EN,,English
LIT,X000,Introduction to Literature (GE Core),1,EN,Humanities,English
LIT,X010,Introduction to Fiction,1,EN,,English
LIT,X020,The Short Story,1,EN,,English
LIT,X030,Introduction to Poetry,1,EN,,English
LIT,X081,Introduction to Modern Literature,1,EN,,English
LIT,X090,Introduction to Contemporary Literature,1,EN,,English
LIT,X100,Introduction to World Literature,1,EN,,English
LIT,X110,World Literature through the Renaissance,1,EN,,English
LIT,X120,World Literature Since the Renaissance,1,EN,,English
LIT,X310,Science Fiction and Fantasy,1,EN,,English
LIT,X380,Introduction to Women in Literature,1,EN,,English
MAC,X105,College Algebra (GE Core),1,MA,Mathematics,Mathematics
MAC,X106,Combined College Algebra/Pre-Calculus,1,MA,,Mathematics
MAC,X114,Trigonometry,1,MA,,Mathematics
MAC,X140,Precalculus Algebra,1,MA,,Mathematics
MAC,X147,Precalculus Algebra/Trigonometry,1,MA,,Mathematics
MAC,X223,Calculus for Architecture I,1,MA,,Mathematics
MAC,X233,Calculus for Business & Soc. Science I,1,MA,,Mathematics
MAC,X241,Life Science Calculus I,1,MA,,Mathematics
MAC,X242,Life Science Calculus II,1,MA,,Mathematics
MAC,X253,Calculus for Engineering Technology I,1,MA,,Mathematics
MAC,X281,Engineering Calculus I,1,MA,,Mathematics
MAC,X282,Engineering Calculus II,1,MA,,Mathematics
MAC,X283,Engineering Calculus III,1,MA,,Mathematics
MAC,X311,Calculus I (GE Core),1,MA,Mathematics,Mathematics
MAC,X312,Calculus with Analytic Geometry II,1,MA,,Mathematics
MAC,X313,Calculus with Analytic Geometry III,1,MA,,Mathematics
MAD,X104,Discrete Mathematics,1,MA,,Mathematics
MAD,X107,Discrete Mathematics,1,MA,,Mathematics
MAD,X401,Numerical Analysis,1,MA,,Mathematics
MAD,X502,Introduction to Computational Mathematics (L),1,MA,,Mathematics
MAN,X021,Management Theory-Majors/Non-Majors,0.5,EL,,Electives
MAP,X302,Differential Equations I,1,MA,,Mathematics
MAP,X305,Different. Equations for Engineers,1,MA,,Mathematics
MAR,X011,Principles of Marketing,0.5,EL,,Electives
MAS,X103,Introductory Linear Algebra I,1,MA,,Mathematics
MAS,X105,Linear Algebra I (Calc. II Prereq),1,MA,,Mathematics
MAS,X106,Linear Algebra I,1,MA,,Mathematics
MAS,X107,Linear Algebra II,1,MA,,Mathematics
MAS,X203,Introductory Number Theory,1,MA,,Mathematics
MAS,X300,Introductory Abstract Algebra,1,MA,,Mathematics
MAS,X301,Introductory Abstract Algebra I,1,MA,,Mathematics
MAT,X033,Intermediate Algebra,0.5,MA,,Mathematics
MCB,X000,Intro Microbiology: No Prerequisites,0.5,EQ,,Science
MCB,X000/L,Intro Microbiology: No Prerequisites,1,EQ,,Science
,,,2024-2025 Academic Dual Enrollment - High School Dubject Area Equivalency List,,,,
MCB,X000C,Intro Microbiology: No Prerequisites,,1,EQ,,Science
MCB,X004,Introductory Microbiology: Biology/Chemistry,Prerequisite,0.5,EQ,,Science
MCB,X004/L,Introductory Microbiology: Biology/Chemistry Prerequisite,,1,EQ,,Science
MCB,X004C,Introductory Microbiology: Biology/Chemistry,Prerequisite,1,EQ,,Science
MCB,X010,Intro Microbiology (Biology/Chemistry),,0.5,EQ,,Science
MCB,X010/L,Intro Microbiology (Biology/Chemistry),,1,EQ,,Science
MCB,X010C,Intro Microbiology (Biology/Chemistry),,1,EQ,,Science
MCB,X020,Microbiology,,0.5,EQ,,Science
MCB,X020/L,Microbiology,,1,EQ,,Science
MCB,X020C,Microbiology,,1,EQ,,Science
MET,X0001,Weather & Climate- General Survey,,0.5,EQ,,Science
MET,X010,Gen Descriptive Intro to the Atmosphere,,0.5,EQ,,Science
MET,X010/L,Gen Descriptive Intro to the Atmosphere,,1,EQ,,Science
MET,X010C,Gen Descriptive Intro to the Atmosphere,,1,EQ,,Science
MGF,X106,Mathematics for Liberal Arts I,,1,MA,,Mathematics
MGF,X107,Mathematics for Liberal Arts II,,1,MA,,Mathematics
MGF,X108,Honors Mathematical Ideas & Explorations,,1,MA,,Mathematics
MGF,X130,Mathematical Thinking (GE Core),,1,MA,Mathematics,Mathematics
MGF,X131,Mathematics in Context,,1,MA,Mathematics,Mathematics
MHF,X300,Elementary Mathematical Logic,,1,MA,,Mathematics
MKA,X090,Business Development Manager OCP A (300 hours),,2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MKA,X432,"Salesperson, Retail OCP A (300 hours)",,2,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MTG,X204,Informal Geometry,,1,MA,,Mathematics
MTG,X206,College Geometry,,1,MA,,Mathematics
MUH,X011,Intro. to Music History- Apprec I,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUH,X110,Introduction to Music History & Lit,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUH,X111,Introduction to Mus History I,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUH,X112,Introduction to Music History,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUH,X12,Intro to Music History- Apprec II,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUH,X17,Contemporary Jazz,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUH,X18,History and Appreciation of Jazz,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUH,X19,History & Appreciation of Pop Music,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUH,X51,Music/Tribal & Folk Cultures-Nonmajor,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUL,X010,Intro. Music Lit/Music Apprec I (GE Core),,0.5,PF,Humanities,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUL,X110,Introduction to Music Literature,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUL,X112,Intro to Mus Lit II (Music Majors),,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUL,X380,Jazz/Pop American Music,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUM,X600,Basic Audio Recording Tech,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUN,X310,Mixed Chorus- Lower Level,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUN,X340,Chamber Chorus- Lower Level,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUN,X341,Chamber Chorus,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUN,X460,Mixed Chamber Ens- Lower Level,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUS,X360,Introduction to Technology in Music,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUT,X001,Fundamentals Preparatory I,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUT,X011,Music Theory for Non Majors I,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUT,X111,Music Theory I,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUT,X112,Music Theory II,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUT,X116,2nd Yr Music Theory I,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUT,X117,2nd Yr Music Theory II,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUT,X121,Music Theory I- Integrated,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUT,X122,Music Theory II- Integrated,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUT,X126,Music Theory III- Integrated,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
MUT,X127,Music Theory IV- Integrated,,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
OCB,X000,Survey of Marine Biology,,0.5,EQ,,Science
OCB,X000/L,Survey of Marine Biology,,1,EQ,,Science
OCB,X000C,Survey of Marine Biology,,1,EQ,,Science
,,2024-2025 Academic Dual Enrollment - High School Dubject Area Equivalency List,,,,
OCB,X010,Introduction to Marine Biology,0.5,EQ,,Science
OCB,X010/L,Introduction to Marine Biology,1,EQ,,Science
OCB,X010C,Introduction to Marine Biology,1,EQ,,Science
OCB,X630,Introduction to Marine Ecology,0.5,EQ,,Science
OCB,X630/L,Introduction to Marine Ecology,1,EQ,,Science
OCE,X000,The Marine Environment,0.5,EQ,,Science
OCE,X001,Survey of Oceanography,0.5,EQ,Natural Science,Science
OCE,X001/L,Survey of Oceanography,1,EQ,Natural Science,Science
OCE,X001C,Survey of Oceanography,1,EQ,Natural Science,Science
OCE,X008,Oceanography (U),0.5,EQ,,Science
OCE,X008C,Oceanography (U),1,EQ,,Science
OTA,X030,Assistant Digital Production Designer OCP C (150 hours),1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
OTA,X040,Information Technology Assistant OCP A (150 hours),1,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
PCB,X023,Cell & Molecular,0.5,EQ,,Science
PCB,X023/L,Cell & Molecular,1,EQ,,Science
PCB,X030,Introduction to Ecology,0.5,EQ,,Science
PCB,X030/L,Introduction to Ecology,1,EQ,,Science
PCB,X030C,Introduction to Ecology,1,EQ,,Science
PCB,X033,General Intro Ecology: Prereq,0.5,EQ,,Science
PCB,X033C,General Intro Ecology: Prereq,1,EQ,,Science
PCB,X043,General Ecology: Prereq.,0.5,EQ,,Science
PCB,X063,Intro Genetics: Prereq.,0.5,EQ,,Science
PCB,X063/L,Intro Genetics: Prereq.,1,EQ,,Science
PCB,X099,Foundations of Human Physiology,0.5,EQ,,Science
PCB,X099/L,Foundations of Human Physiology,1,EQ,,Science
PCB,X610,Intro Genetics and Evolution,0.5,EQ,,Science
PCB,X674,Evolution,0.5,EQ,,Science
PCB,X703,Human Physiology I (Sci Majors),0.5,EQ,,Science
PCB,X703/L,Human Physiology I (Sci Majors),1,EQ,,Science
PCB,X703C,Human Physiology I (Sci Majors),1,EQ,,Science
PET,X303,Appl. of Sci Princ to Cond Prog,0.5,PE,,Physical Education: Personal Fitness
